nombre_jugador,pais_nacimiento,pais_donde_juega,posicion,edad,numero_partidos_seleccion,goles_seleccion
Kevin Cedeño,Ecuador,Ecuador,Lateral derecho,30,73,8
Hiroki Morita,Japón,Alemania,Delantero centro,38,20,19
Kai Schneider Weber,Alemania,Alemania,Extremo derecho,25,35,6
Dani Martínez,España,España,Extremo derecho,21,13,7
Gonçalo Ferreira,Portugal,Portugal,Delantero centro,18,0,0
Ilias Bono,Marruecos,Marruecos,Mediocampista defensivo,21,19,2
Youssef El Idrissi,Marruecos,Marruecos,Extremo derecho,27,10,5
João Santos Barbosa,Brasil,Francia,Extremo derecho,33,66,13
Bruno Lima,Brasil,Senegal,Arquero,27,38,0
Adrien Kanté Giroud,Francia,Inglaterra,Extremo izquierdo,18,2,2
Christian Robinson,Estados Unidos,Ecuador,Lateral derecho,36,30,0
Olivier Camara,Francia,Francia,Extremo izquierdo,20,13,11
Mike Fofana,Francia,Francia,Delantero centro,34,78,46
Lamine Cissé,Senegal,Senegal,Arquero,29,49,0
Bruno Lima Silva,Brasil,Brasil,Lateral izquierdo,24,32,5
Ferran Pérez Torres,España,Francia,Arquero,32,99,0
Christian Miller,Estados Unidos,España,Lateral derecho,37,110,4
Oussama Ziyech,Marruecos,España,Defensa central,31,57,4
Nuno Oliveira,Portugal,Inglaterra,Delantero centro,26,62,27
Jeremy Cedeño Valencia,Ecuador,Ecuador,Delantero centro,18,1,1
Miles Reyna,Estados Unidos,Alemania,Defensa central,30,70,3
Daichi Nakamura,Japón,Japón,Delantero centro,26,64,34
André Santos Silva,Portugal,Portugal,Mediocampista ofensivo,27,49,16
Phil Taylor King,Inglaterra,Inglaterra,Lateral izquierdo,34,79,2
Sadio Cissé,Senegal,Senegal,Lateral izquierdo,38,69,1
Matheus Silva,Brasil,Brasil,Lateral izquierdo,22,30,2
Serge Schmidt Becker,Alemania,Alemania,Arquero,20,11,0
Bruno Neves,Portugal,Portugal,Mediocampista ofensivo,35,49,9
Bruno Oliveira,Brasil,Brasil,Lateral izquierdo,30,60,2
Felipe Santos,Brasil,Argentina,Defensa central,35,66,3
Rafael Costa,Brasil,Brasil,Lateral izquierdo,29,41,3
Ritsu Yamamoto,Japón,España,Delantero centro,35,58,15
Marcus Green,Inglaterra,Francia,Extremo izquierdo,19,8,8
Taiwo Balogun,Nigeria,Nigeria,Arquero,36,76,0
Jhon Mina,Ecuador,Ecuador,Extremo derecho,18,6,6
Jules Camara,Francia,Francia,Lateral izquierdo,38,37,0
Jordan Morris Pulisic,Estados Unidos,México,Mediocampista defensivo,19,18,1
Harry Brown,Inglaterra,España,Mediocampista defensivo,33,67,0
Marcus Wright Smith,Inglaterra,España,Defensa central,30,23,2
